seq,menu_file,item_id,title_ref,title_zh,domain,phase,status,owner,verify,notes
98,book_read_source.xml,@+id/menu_chapter_pay,@string/chapter_pay,购买,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书,VIP未购买章节)->顶部书源名->章节购买->确定; 校验仅 loginUrl 非空且当前章节 isVip=true 且 isPay!=true 显示入口，确认后按 payAction 结果分流（URL 打开网页，truthy 结果清缓存并刷新目录），异常仅写日志且不追加扩展提示
99,book_read_source.xml,@+id/menu_edit_source,@string/edit_book_source,编辑书源,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->顶部书源名->编辑书源; 校验点击后按当前 sourceUrl 回查书源并进入编辑书源页，弹层期间若书源被删除则提示未找到书源，编辑后仅保存返回时刷新阅读页书源显示,编辑动作由使用弹层快照 source 直接打开收敛为 legado 同义的按 bookSourceUrl 实时回查后打开；保存返回才刷新菜单书源显示以对齐 RESULT_OK 回调语义
100,book_read_source.xml,@+id/menu_disable_source,@string/disable_book_source,禁用书源,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->顶部书源名->禁用书源; 校验点击后按 bookSourceUrl 回查当前书源并直接写库禁用，无确认弹窗且无成功提示,禁用动作由弹层快照 source 直接写库收敛为 legado 同义的按 bookSourceUrl 实时回查后禁用；回查缺失时提示“未找到书源”
164,book_toc.xml,@+id/menu_split_long_chapter,@string/split_long_chapter,拆分超长章节,搜索/详情/目录,P2,done,codex,手工路径: 书籍详情页->查看目录->更多->拆分超长章节; 校验仅本地 TXT 显示勾选态并切换后即时重建目录,目录页补齐 menu_split_long_chapter 勾选入口并复用本地 TXT 重解析链路; 切换后同步刷新目录列表与勾选状态
166,book_toc.xml,@+id/menu_use_replace,@string/use_replace,使用替换,搜索/详情/目录,P2,done,codex,手工路径: 书籍详情页->查看目录->更多->使用替换; 校验固定文案+勾选态切换且不弹成功提示，切换后目录标题即时按替换规则刷新,目录页补齐 menu_use_replace 全局开关并持久化到 tocUiUseReplace；展示链路收敛为 tocUiUseReplace && 书籍启用替换规则
167,book_toc.xml,@+id/menu_load_word_count,@string/load_word_count,加载字数,搜索/详情/目录,P2,done,codex,flutter test test/search_book_info_view_compile_test.dart test/simple_reader_view_compile_test.dart test/reader_catalog_sheet_test.dart 通过; 手工路径: 书籍详情页->查看目录->更多->加载字数; 校验固定文案+勾选态切换且不弹成功提示，目录项字数按开关即时显隐,目录页补齐 menu_load_word_count 全局开关并持久化到 toc_ui_load_word_count；目录项在开关开启且存在可用字数时显示 xx字/xx万字
170,book_toc.xml,@+id/menu_log,@string/log,日志,搜索/详情/目录,P2,done,codex,命令: dart format lib/features/search/views/search_book_info_view.dart；命令: dart analyze lib/features/search/views/search_book_info_view.dart；手工路径（待回归）: 书籍详情页->查看目录->更多->日志；校验点击后直接打开日志弹层并可关闭且无前置条件限制,目录页更多菜单补齐 menu_log 常驻入口并接入 showAppLogDialog；点击后直接打开日志弹层并保持当前目录页状态不变
171,bookmark.xml,@+id/menu_export,@string/export,导出,书架/缓存/分组,P6,done,codex,命令: dart format lib/core/database/repositories/bookmark_repository.dart lib/features/reader/services/reader_bookmark_export_service.dart lib/features/reader/views/all_bookmark_view.dart lib/features/settings/views/settings_view.dart；手工路径（待回归）: 设置->功能 & 设置->书签->右上角更多->导出；校验导出成功提示且导出文件名为 bookmark-yyMMddHHmmss.json,对齐 legado AllBookmarkActivity.menu_export 语义: 补齐“设置->书签->所有书签”入口与全量书签承载页；顶栏更多菜单新增“导出”并按 bookmarkDao.all 同义排序（bookName/bookAuthor/chapterIndex/chapterPos）导出 JSON；取消导出静默返回，失败写 ExceptionLogService(node=all_bookmark.menu_export)
172,bookmark.xml,@+id/menu_export_md,@string/export_md,导出(MD),书架/缓存/分组,P6,done,codex,命令: dart format lib/features/reader/services/reader_bookmark_export_service.dart lib/features/reader/views/all_bookmark_view.dart；手工路径（待回归）: 设置->功能 & 设置->书签->右上角更多->导出(MD)；校验导出文件名为 bookmark-yyMMddHHmmss.md 且提示“导出成功”并在取消目录选择时静默返回,对齐 legado AllBookmarkActivity.menu_export_md 语义: 顶栏更多菜单补齐“导出(MD)”动作并复用同一目录选择流程；导出内容按 bookmarkDao.all 顺序输出 Markdown 分组（书名作者/章节/原文/摘要）；失败记录 ExceptionLogService(node=all_bookmark.menu_export_md)
173,bookshelf_manage.xml,@+id/menu_book_group,@string/group,分组,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->顶栏分组->切换 全部 本地 网络未分组 本地未分组；校验搜索框提示随分组回显“筛选 • 分组名”且列表即时切换,对齐 legado BookshelfManageActivity.menu_book_group 语义: 顶栏新增一级“分组”入口；分组选项按 bookGroup 顺序动态展示并回显当前选中项；选择后更新当前分组并按分组重算当前列表；批量换源/清理缓存动作仅作用于当前分组+当前筛选结果中的选中集合。保留差异: 当前 Book 模型未迁移 audio/updateError 类型位 且书籍分组位写入链路待 seq180 回补，音频/更新失败分组及自定义分组命中依赖 membership 映射
174,bookshelf_manage.xml,@+id/menu_group_manage,@string/group_manage,分组管理,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->顶栏分组->分组管理；校验分组弹层出现“分组管理”一级入口，点击后进入分组管理弹窗并在关闭后回刷分组上下文（含当前分组回显/无效分组回退）,对齐 legado BookshelfManageActivity.menu_group_manage 语义: 在分组子菜单首项补齐“分组管理”入口；点击后触发 GroupManageDialog 同层级弹窗；关闭后恢复当前页面并刷新分组数据
175,bookshelf_manage.xml,@+id/menu_export_all_use_book_source,@string/export_all_use_book_source,导出所有书的书源,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/bookshelf_manage_export_service.dart lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->右上角更多->导出所有书的书源；校验默认文件名为 bookSource.json 且取消导出静默返回并在成功后可复制导出路径,对齐 legado BookshelfManageActivity.menu_export_all_use_book_source 语义: 顶栏菜单补齐“导出所有书的书源”入口；导出集合按在用线上书源收敛（过滤本地与 WebDav 标签来源并仅导出书源仓库可命中项）；导出失败提示错误摘要并保留可观测日志
176,bookshelf_manage.xml,@+id/menu_open_book_info_by_click_title,@string/open_book_info_by_click_title,点击书名打开详情,书架/缓存/分组,P6,done,codex,命令: dart format lib/core/services/settings_service.dart lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->右上角更多->点击书名打开详情 开关切换；开启后点击书名进入书籍详情且点击行其余区域仅切换勾选；关闭后点击书名回落为勾选操作,对齐 legado BookshelfManageActivity.menu_open_book_info_by_click_title + BookAdapter 语义: 顶栏菜单补齐 checkable 开关“点击书名打开详情”并持久化同名键 openBookInfoByClickTitle；开启时书名点击直达 SearchBookInfoView.fromBookshelf 详情页且不影响整行勾选入口；关闭时书名点击与整行点击同义为勾选切换
177,bookshelf_menage_sel.xml,@+id/menu_del_selection,@string/delete,删除,书架/缓存/分组,P6,done,codex,命令: dart format lib/core/services/settings_service.dart lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；命令: dart analyze lib/core/services/settings_service.dart lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->勾选多本书->删除->取消或确认；校验确认弹层包含“删除源文件”开关并回显上次选择 且确认后仅删除选中书籍并保持成功静默,对齐 legado BookshelfManageActivity.menu_del_selection + BookshelfManageViewModel.deleteBook 语义: 书架管理选中态补齐“删除”一级动作；触发后弹出“提醒/是否确认删除？”确认层并提供“删除源文件”开关且持久化 legacy 同名键 deleteBookOriginal；确认后按选中集合批量删书 本地书始终清理封面文件 且在开关开启时额外删除本地源文件 失败分支写 ExceptionLogService 节点
178,bookshelf_menage_sel.xml,@+id/menu_update_enable,@string/allow_update,允许更新,书架/缓存/分组,P6,done,codex,命令: dart format lib/core/services/settings_service.dart lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；命令: dart analyze lib/core/services/settings_service.dart lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->勾选多本书->允许更新；校验动作为一级入口且点击后保持成功静默，书架“更新目录”候选计数可恢复包含已选网络书籍,对齐 legado BookshelfManageActivity.menu_update_enable + BookshelfManageViewModel.upCanUpdate 语义: 书架管理选中态补齐“允许更新”一级动作；点击后按当前可见选中集批量写入 canUpdate=true 并保持页面停留；失败写 ExceptionLogService(node=bookshelf_manage.menu_update_enable) 且提示错误摘要
179,bookshelf_menage_sel.xml,@+id/menu_update_disable,@string/disable_update,禁止更新,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->勾选多本书->禁止更新；校验动作为一级入口且点击后保持成功静默，返回书架“更新目录”时已选网络书籍不再进入更新候选,对齐 legado BookshelfManageActivity.menu_update_disable + BookshelfManageViewModel.upCanUpdate 语义: 书架管理选中态补齐“禁止更新”一级动作；点击后按当前可见选中集批量写入 canUpdate=false 并保持页面停留；失败写 ExceptionLogService(node=bookshelf_manage.menu_update_disable) 且提示错误摘要。保留差异: 当前 Book 模型未迁移 legacy updateError 类型位，无法执行 removeType(updateError) 副作用
180,bookshelf_menage_sel.xml,@+id/menu_add_to_group,@string/add_to_group,加入分组,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->勾选多本书->加入分组->勾选分组并确定；校验仅当前可见选中书籍命中分组筛选 且取消保持静默返回,对齐 legado BookshelfManageActivity.menu_add_to_group + GroupSelectDialog + upGroup(addToGroupRequestCode) 语义: 书架管理选中态补齐“加入分组”一级动作；触发后打开分组多选弹层并按 groupId>=0 集合选择分组；确认后按当前可见选中集合批量写入 membership=membership|selectedGroupBits 并持久化到 bookshelf.book_group_membership_map；失败写 ExceptionLogService(node=bookshelf_manage.menu_add_to_group) 且提示错误摘要。回补 seq173 记录的分组位写入缺口
181,bookshelf_menage_sel.xml,@+id/menu_change_source,@string/change_source_batch,批量换源,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->勾选多本书->批量换源->选择书源并确认；校验“选择书源”页支持搜索过滤与换源间隔(0~9999秒)配置，执行中回显 current/total 且可取消,对齐 legado BookshelfManageActivity.menu_change_source + SourcePickerDialog + BookshelfManageViewModel.changeSource 语义: 书架管理选中态补齐“批量换源”一级动作；点击后进入书源选择页并提供换源间隔菜单；确认后按选中集逐本换源，单书失败仅记录可观测日志且不中断整批，执行中支持取消
182,bookshelf_menage_sel.xml,@+id/menu_clear_cache,@string/clear_cache,清理缓存,书架/缓存/分组,P6,done,codex,命令: dart format lib/core/database/repositories/book_repository.dart lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->勾选多本书->清理缓存；校验成功提示“成功清理缓存”且仅清理选中书籍缓存,对齐 legado BookshelfManageActivity.menu_clear_cache + BookshelfManageViewModel.clearCache 语义: 书架管理选中态补齐“清理缓存”一级动作；点击后按选中集批量清理章节缓存并统一提示成功；失败写 ExceptionLogService(node=bookshelf_manage.menu_clear_cache) 且提示错误摘要
183,bookshelf_menage_sel.xml,@+id/menu_check_selected_interval,@string/check_selected_interval,选中所选区间,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/bookshelf_manage_placeholder_view.dart；手工路径（待回归）: 书架->更多->书架管理->勾选多本(非连续)->选中所选区间；校验当前可见列表最小与最大已选索引之间书籍全部补选 且“已选 N / total”计数同步更新并保持静默无提示,对齐 legado BookshelfManageActivity.menu_check_selected_interval + BookAdapter.checkSelectedInterval 语义: 书架管理选中态补齐“选中所选区间”一级动作；点击后仅按当前可见列表扩展连续选区并刷新计数；全流程不写库不弹提示
184,change_cover.xml,@+id/menu_start_stop,@string/stop,停止,系统与工具,P10,done,codex,命令: dart format lib/features/search/views/search_book_cover_change_view.dart；手工路径（待回归）: 书籍详情->编辑书籍信息->封面换源->右上角刷新/停止；校验进入页面后自动进入搜索中态并回显“停止”动作（含停止图标），点击“停止”立即取消当前搜索并回落“刷新”动作，再次点击“刷新”可重启搜索且候选列表重置,对齐 legado change_cover/menu_start_stop + ChangeCoverDialog.onMenuItemClick(menu_start_stop) + ChangeCoverViewModel.startOrStopSearch 语义: 顶栏同入口动作在“刷新/停止”间切换；运行中点击停止可中断封面换源请求并回落刷新态；动作文案与图标随搜索状态同步且流程不追加成功提示
200,code_edit.xml,@+id/menu_save,@string/action_save,保存,系统与工具,P10,done,codex,命令: dart format lib/features/source/views/source_list_view.dart；手工路径（待回归）: 设置->源管理->书源管理->更多->本地导入或网络导入->导入候选列表->打开->右上角保存；校验编辑承载标题固定为 edit 且顶栏仅保留一级保存图标动作，点击后关闭并回写候选源 JSON；点击遮罩关闭时保持静默且不落盘,对齐 legado code_edit/menu_save + CodeDialog.onMenuItemClick(menu_save) + ImportBookSourceDialog.onCodeSave 语义: 导入候选“打开”承载收敛为 code_edit 同义编辑态；顶栏仅保留一级保存动作且保存后只回传文本并关闭承载；不追加取消二级动作和成功提示
201,content_edit.xml,@+id/menu_save,@string/action_save,保存,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作->编辑正文->清空正文后点保存 或 关闭; 校验不覆盖当前章节已缓存正文并返回阅读页,编辑正文保存链路补齐 legado menu_save 同义空正文边界：仅当正文非空时才落库覆盖章节内容；保留保存后返回阅读页且正文刷新
202,content_edit.xml,@+id/menu_reset,@string/reset,重置,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->阅读操作->编辑正文->重置 与 阅读页(本地 TXT/EPUB)->阅读操作->编辑正文->重置; 校验重置后编辑框回填源正文并刷新当前章节，失败时无重置失败弹窗,编辑正文重置链路补齐 legado menu_reset 同义：先清缓存再回源读取正文；网络书失败时静默保留当前编辑内容并记录日志；本地书改为从本地文件回读章节正文
204,content_search.xml,@+id/menu_enable_replace,@string/replace,替换,阅读与朗读,P3,done,codex,手工路径: 阅读页->搜索正文->输入关键词搜索->搜索面板顶栏更多->替换->再次搜索; 校验勾选态切换有效且仅影响全文搜索替换流程，退出全文搜索后开关恢复默认关闭,对齐 legado SearchContentActivity.menu_enable_replace 语义：补齐全文搜索 checkable“替换”入口；点击仅翻转搜索态开关不自动重跑；搜索链路按“搜索替换开关 && 书籍替换净化开关”决定是否应用替换规则
205,content_select_action.xml,@+id/menu_replace,@string/replace,替换,阅读与朗读,P3,done,codex,手工路径: 阅读页(翻页模式)->长按正文词句->文本操作->替换->保存规则; 校验默认 pattern 为选中文本逐行 trim 后结果 且 scope 为 书名;书源URL,对齐 legado TextActionMenu.menu_replace：补齐翻页阅读长按选中文本入口并接入 文本操作->替换；替换编辑页按 selectedText(逐行trim) 预填 pattern 且 scope 预填 bookName;bookSourceUrl；保存后回写规则并刷新当前章节
207,content_select_action.xml,@+id/menu_bookmark,@string/bookmark,书签,阅读与朗读,P3,done,codex,手工路径: 阅读页(翻页模式)->长按正文词句->文本操作->书签->取消/确定; 校验取消不落库，确定后新增书签且目录书签页可见并可跳转,对齐 legado TextActionMenu.menu_bookmark：补齐文本操作->书签入口；点击后以选中文本预填书签编辑弹窗，取消不写库，确定后写库并刷新书签状态
208,content_select_action.xml,@+id/menu_aloud,@string/read_aloud,朗读,阅读与朗读,P3,done,codex,手工路径: 阅读页(翻页模式)->长按正文词句->文本操作->朗读(点击/长按); 校验点击按模式执行“朗读选择内容/从选择处开始一直朗读”，长按任意文本操作菜单项可在两种模式间切换并持久化,对齐 legado TextActionMenu.menu_aloud：补齐文本操作“朗读”入口；默认模式朗读选中文本，长按切换后改为从选择处开始持续朗读；模式键持久化为 contentSelectSpeakMod
209,content_select_action.xml,@+id/menu_dict,@string/dict,字典,阅读与朗读,P3,done,codex,手工路径: 阅读页(翻页模式)->长按正文词句->文本操作->字典; 校验弹出字典面板、默认加载首个启用规则并支持规则切换后重新查询,对齐 legado TextActionMenu.menu_dict：补齐文本操作“字典”入口；点击后打开字典弹层并以 selectedText 发起词典查询（规则按 enabled + sortNumber 排序）
210,content_select_action.xml,@+id/menu_search_content,@string/search_content,全文搜索,阅读与朗读,P3,done,codex,flutter test test/reader_search_navigation_helper_test.dart 与 flutter test test/reader_top_menu_test.dart 通过；手工路径: 阅读页->搜索正文->输入关键词->搜索->上一个/下一个命中,将全文搜索从“仅当前章节命中”收敛为 legado 同义“跨章节命中列表 + 跨章节跳转”；保持在线书仅检索已缓存章节并在搜索面板展示章节维度结果信息
211,content_select_action.xml,@+id/menu_browser,@string/browser,浏览器,阅读与朗读,P3,done,codex,手工路径: 阅读页(翻页模式)->长按正文词句->文本操作->浏览器; 校验选中文本为http或https时外部浏览器直开且失败提示ERROR; 非网址文本按关键词发起网页搜索,对齐legado TextActionMenu.menu_browser语义：选中文本为绝对网址时走ACTION_VIEW; 非绝对网址时走ACTION_WEB_SEARCH; 异常提示localizedMessage为空时回退ERROR
212,content_select_action.xml,@+id/menu_share_str,@string/share,分享,阅读与朗读,P3,done,codex,手工路径: 阅读页(翻页模式)->长按正文词句->文本操作->分享; 校验打开系统分享面板且分享内容为选中文本并且不追加成功或失败提示,对齐 legado TextActionMenu.menu_share_str：补齐文本操作“分享”入口；点击后调用系统文本分享（subject=分享 且 text=selectedText）；分享异常静默吞掉不追加提示
213,crash_log.xml,@+id/menu_clear,@string/clear,清除,系统与工具,P10,done,codex,命令: dart format lib/features/settings/views/exception_logs_view.dart；手工路径（待回归）: 设置->开发工具->异常日志->清除；校验顶栏右侧存在“清除”一级动作且点击后无确认弹窗无成功提示并立即清空列表；清空后列表保持留白态,对齐 legado crash_log/menu_clear + CrashLogsDialog.onMenuItemClick(menu_clear) + CrashViewModel.clearCrashLog 语义: 异常日志页顶栏保留单项“清除”动作；点击后直接清空异常日志并立即刷新列表；流程静默不追加确认与成功提示
214,dialog_text.xml,@+id/menu_close,@string/close,关闭,系统与工具,P10,done,codex,命令: dart format lib/features/source/views/source_debug_text_view.dart lib/features/settings/views/app_help_dialog.dart；手工路径（待回归）: 订阅->规则订阅->订阅源调试->更多->列表源码/正文源码->右上角关闭；设置->帮助文档弹层->右上角关闭；校验文本承载页与帮助弹层顶栏均仅保留“关闭”一级动作且点击后直接关闭承载，无额外复制入口与成功提示,对齐 legado dialog_text/menu_close + TextDialog.onMenuItemClick(menu_close) 语义: 通用文本承载顶栏收敛为单项“关闭”；点击后仅执行 dismiss/pop，不附带复制、保存或提示等扩展副作用
215,dict_rule.xml,@+id/menu_add,@string/create,新建,规则与净化,P5,done,codex,命令: dart format lib/features/reader/views/dict_rule_manage_view.dart；flutter test test/simple_reader_view_compile_test.dart test/widget_test.dart 通过；手工路径（待回归）: 设置->源管理->替换净化->字典规则->右上角加号->进入字典规则编辑页; 校验点击后打开空白编辑页且不自动保存,对齐 legado DictRuleActivity.menu_add 语义: 顶栏一级新建入口点击后仅打开空白字典规则编辑页；不触发导入链路且不自动落库
216,dict_rule.xml,@+id/menu_import_local,@string/import_local,本地导入,规则与净化,P5,done,codex,手工路径: 设置->源管理->替换净化->字典规则->右上角更多->本地导入->选择txt/json->勾选候选->导入; 校验候选列表显示新增/已有且默认仅勾选新增；确认后按名称覆盖写入并返回列表可见,对齐 legado DictRuleActivity.menu_import_local 语义: 仅允许txt/json本地文件导入；导入前展示候选并按本地同名规则标记新增/已有；默认勾选新增并仅导入勾选项
217,dict_rule.xml,@+id/menu_import_onLine,@string/import_on_line,网络导入,规则与净化,P5,done,codex,手工路径: 设置->源管理->替换净化->字典规则->右上角更多->网络导入->输入URL并导入; 校验URL可进入候选列表且默认仅勾选新增；确认后按名称覆盖写入并刷新列表；历史记录支持点选回填与删除,对齐 legado DictRuleActivity.menu_import_onLine 语义: 网络导入先弹URL输入层并维护 dictRuleUrls 历史；确认后进入导入字典规则候选弹层；仅导入勾选项并保持新增默认选中
218,dict_rule.xml,@+id/menu_import_qr,@string/import_by_qr_code,二维码导入,规则与净化,P5,done,codex,手工路径: 设置->源管理->替换净化->字典规则->右上角更多->二维码导入->扫码导入; 校验扫码结果可进入候选列表且默认仅勾选新增；确认后按名称覆盖写入并刷新列表；扫码取消或空结果静默返回,对齐 legado DictRuleActivity.menu_import_qr 语义: 点击后仅拉起扫码并将扫码文本直接交给导入字典规则候选弹层；候选状态与默认勾选规则保持新增优先；二维码导入不写入 dictRuleUrls 网络历史
219,dict_rule.xml,@+id/menu_import_default,@string/import_default_rule,导入默认规则,规则与净化,P5,done,codex,flutter test test/simple_reader_view_compile_test.dart 与 flutter test test/widget_test.dart 通过；手工路径: 设置->源管理->替换净化->字典规则->右上角更多->导入默认规则；校验默认规则按名称覆盖写入且列表刷新；重复导入不清理非默认规则,对齐 legado DictRuleActivity.menu_import_default 语义: 点击后直接导入默认字典规则；导入行为按 name 覆盖写入（REPLACE）并保留非同名本地规则；不追加成功提示
221,dict_rule_edit.xml,@+id/menu_save,@string/action_save,保存,规则与净化,P5,done,codex,命令: dart format lib/features/reader/views/dict_rule_edit_view.dart lib/features/reader/views/dict_rule_manage_view.dart lib/features/reader/services/dict_rule_store.dart；手工路径（待回归）: 设置->源管理->替换净化->字典规则->右上角加号->填写名称/URL规则/显示规则->保存；手工路径（待回归）: 设置->源管理->替换净化->字典规则->点击已有规则->修改名称后保存,对齐 legado DictRuleEditDialog.menu_save 语义: 编辑页提供顶栏一级保存入口；保存时仅提交 name/urlRule/showRule 并保留 enabled/sortNumber；管理页按“删除旧名再按新名写入”刷新规则列表；保存成功不追加扩展提示
223,dict_rule_edit.xml,@+id/menu_paste_rule,@string/paste_rule,粘贴规则,规则与净化,P5,done,codex,flutter test test/simple_reader_view_compile_test.dart 通过；手工路径: 设置->源管理->替换净化->字典规则->任一规则->更多->粘贴规则; 校验剪贴板为空提示“剪贴板没有内容”，非法JSON提示“格式不对”，合法JSON对象仅回填名称/URL规则/显示规则且不自动保存,对齐 legado DictRuleEditDialog.menu_paste_rule 语义: 读取剪贴板文本后按 DictRule JSON 对象解析；成功仅执行 upRuleView 回填编辑表单；失败分支提示固定口径且不触发保存
224,dict_rule_sel.xml,@+id/menu_enable_selection,@string/enable_selection,启用所选,规则与净化,P5,done,codex,命令: dart format lib/features/reader/services/dict_rule_store.dart lib/features/reader/views/dict_rule_manage_view.dart；手工路径（待回归）: 设置->源管理->替换净化->字典规则->多选->勾选至少一条禁用规则->更多->启用所选; 校验所选规则 enabled 置为 true 且“禁用”标记消失并保持静默不提示,对齐 legado DictRuleActivity.menu_enable_selection 语义: 多选菜单“启用所选”仅对当前选中集合批量写入 enabled=true 并刷新列表；不追加成功提示且保持页面停留
225,dict_rule_sel.xml,@+id/menu_disable_selection,@string/disable_selection,禁用所选,规则与净化,P5,done,codex,命令: dart format lib/features/reader/views/dict_rule_manage_view.dart；手工路径（待回归）: 设置->源管理->替换净化->字典规则->多选->勾选至少一条启用规则->更多->禁用所选; 校验所选规则 enabled 置为 false 且“禁用”标记出现并保持静默不提示,对齐 legado DictRuleActivity.menu_disable_selection 语义: 多选菜单“禁用所选”仅对当前选中集合批量写入 enabled=false 并刷新列表；不追加成功提示且保持页面停留
226,dict_rule_sel.xml,@+id/menu_export_selection,@string/export_selection,导出所选,规则与净化,P5,done,codex,手工路径: 设置->源管理->替换净化->字典规则->多选->勾选规则->更多->导出所选; 校验默认文件名 exportDictRule.json 且取消导出静默返回并在成功后弹出路径可复制,对齐 legado DictRuleActivity.menu_export_selection 语义: 仅导出当前选中规则为 JSON 数组；导出成功后展示路径并支持复制
228,direct_link_upload_config.xml,@+id/menu_paste_rule,@string/paste_rule,粘贴规则,导入导出与备份,P8,done,codex,命令: dart format lib/features/settings/models/direct_link_upload_rule.dart lib/features/settings/services/direct_link_upload_config_service.dart lib/features/settings/views/direct_link_upload_config_view.dart lib/features/settings/views/other_settings_view.dart；手工路径（待回归）: 设置->其它设置->源设置->直链上传规则->右上角更多->粘贴规则；校验合法 JSON 对象仅回填上传URL和下载URL规则和注释和是否压缩，空剪贴板或非法 JSON 提示“剪贴板为空或格式不对”且不自动保存,对齐 legado DirectLinkUploadConfig.menu_paste_rule 语义: 读取剪贴板文本并按 Rule JSON 对象解析；成功仅执行 upView 回填表单；失败统一提示“剪贴板为空或格式不对”，不触发保存与跳转
229,direct_link_upload_config.xml,@+id/menu_import_default,@string/import_default_rule,导入默认规则,导入导出与备份,P8,done,codex,命令: dart format lib/features/settings/models/direct_link_upload_rule.dart lib/features/settings/services/direct_link_upload_config_service.dart lib/features/settings/views/direct_link_upload_config_view.dart lib/features/settings/views/other_settings_view.dart；手工路径（待回归）: 设置->其它设置->源设置->直链上传规则->右上角更多->导入默认规则->选择任一默认规则；校验仅回填上传URL和下载URL规则和注释和是否压缩且页面保持停留不自动保存,对齐 legado DirectLinkUploadConfig.menu_import_default 语义: 弹出默认规则选择器并展示 defaultRules；选中后仅执行 upView 回填当前表单，不触发保存与关闭
230,explore_item.xml,@+id/menu_edit,@string/edit,编辑,系统与工具,P10,done,codex,命令: dart format lib/features/discovery/views/discovery_view.dart；手工路径（待回归）: 发现->长按任一书源->编辑；校验长按菜单文案为“编辑”且点击后按当前 sourceUrl 打开书源编辑页；手工路径（待回归）: 长按菜单打开后在其他入口删除该书源再点击编辑；校验进入空白编辑承载且流程无异常,对齐 legado explore_item/menu_edit + ExploreAdapter.showMenu(menu_edit) + ExploreFragment.editSource + BookSourceEditActivity.initData 语义: 发现页长按菜单编辑动作收敛为以 sourceUrl 作为唯一编辑 key，点击后实时回查当前书源并进入编辑承载；源缺失时保持 legacy 同义空白编辑边界；不提前并入 menu_top(seq231)
231,explore_item.xml,@+id/menu_top,@string/to_top,置顶,系统与工具,P10,done,codex,命令: dart format lib/features/discovery/views/discovery_view.dart；手工路径（待回归）: 发现->长按任一书源->置顶；校验点击后目标书源移动到发现列表首位且流程静默无提示；手工路径（待回归）: 长按菜单打开后在其他入口删除该书源再点击置顶；校验流程静默返回且已删除书源不会被重新写回,对齐 legado explore_item/menu_top + ExploreAdapter.showMenu(menu_top) + ExploreFragment.toTop + ExploreViewModel.topSource + BookSourceDao.minOrder/upOrder 语义: 发现页长按菜单置顶动作收敛为点击后仅按 sourceUrl 回查当前书源并执行 customOrder=minOrder-1 写库；源缺失场景静默返回且不重插记录；不提前并入 menu_del(seq235)
232,explore_item.xml,@+id/menu_login,@string/login,登录,系统与工具,P10,done,codex,命令: dart format lib/features/discovery/views/discovery_view.dart；手工路径（待回归）: 发现->长按任一含 loginUrl 的书源->登录；校验 loginUrl 非空时展示“登录”入口，点击后先按 sourceUrl 回查当前书源并按 loginUi 原始非空/空值分流到表单登录或网页登录；手工路径（待回归）: 长按菜单打开后在其他入口删除该书源再点击登录；校验提示“未找到书源”并静默返回,对齐 legado explore_item/menu_login + ExploreAdapter.showMenu(menu_login) + SourceLoginActivity 语义: 发现页长按菜单登录动作收敛为以 sourceUrl 作为 key 的统一登录承载，loginUi 判定改为原始字符串非空；不提前并入 menu_search(seq233)
